Name,Price
Modem,2500
Router,3200
Keyboard,800
Mouse,600
Monitor,8500
Printer,12000
Scanner,9500
USB Drive,700
External HDD,4500
SSD,5200
Graphics Card,30000
RAM,2500
Motherboard,15000
CPU,22000
Power Supply,4000
Cabinet,3500
Webcam,1800
Headset,2200
Microphone,2800
Speakers,3200
Smartphone,28000
Tablet,25000
Laptop,60000
Smartwatch,15000
Charger,900
HDMI Cable,500
Ethernet Cable,350
Projector,45000
UPS,7000
Extension Board,800
WiFi Adapter,1100
Bluetooth Dongle,750
VR Headset,22000
Game Controller,3500
Drone,85000
Camera,55000
Tripod,2500
Memory Card,1200
Power Bank,3000
Flashlight,900
Smart TV,65000
Soundbar,18000
Microwave,20000
Refrigerator,45000
Washing Machine,40000
Air Conditioner,52000
Ceiling Fan,3500
Water Purifier,12000
Vacuum Cleaner,14000
Electric Kettle,2500
